idx,result,text,clean
183,Negative,"@03__nakula @tvOneNews CAPRES PRABOWO, CAWAPRES GELAR KERAK TELOR, NGAKUNYA PUNYA GELAR BACHELOR GIBRAN. BAPAK &amp  ANAK SAMA2X LICIK, APALAGI PARTAI PENDUNGKUNNYA SAMA, PICIK. KEOK NGGAK BAKAL MENANG.PASLON 2,3 KEOK  IKN WAJIB DISTOP PILKDA GUB DKI WAJIB ADA,KLU TIDAK KAESANG BOBI DISIAPKAN JADI WAGUB", __nakula tvonenews capres prabowo cawapres gelar kerak telor ngakunya punya gelar bachelor gibran bapak amp anak sama licik apalagi partai pendungkunnya sama picik keok nggak bakal menang paslon keok ikn wajib distop pilkda gub dki wajib ada klu tidak kaesang bobi disiapkan jadi wagub
184,Neutral,@MIrvanDarwin1 @prabowo @andre_rosiade aduh..anggota kader di banggain, mirvandarwin prabowo andre_rosiade aduh anggota kader di banggain
185,Neutral,@Chaves1305 @prabowo Bilang sama bapak aja langsung minta dilantik, chaves prabowo bilang sama bapak aja langsung minta dilantik
186,Neutral,@rikamulyasari16 @Aswad422 @geloraco @susipudjiastuti Bu Susi ke arah Prabowo kayaknya, rikamulyasari aswad geloraco susipudjiastuti bu susi ke arah prabowo kayaknya
187,Negative,Udah gosah malu2 dukung prabowo. Ngapain pakai tameng jokowi juga.  Pakai ngeles buzzer ganjar segala. Klean itu pilih capres apa pilih buzzer?   😁😁😁,udah gosah malu dukung prabowo ngapain pakai tameng jokowi juga pakai ngeles buzzer ganjar segala klean itu pilih capres apa pilih buzzer 
188,Negative,@Melihat_Indo mngknya pak Prabowo jadi makin bunder kebanyakan blunder 😁 bnyak ngelaknya, melihat_indo mngknya pak prabowo jadi makin bunder kebanyakan blunder bnyak ngelaknya
189,Positive,Siap-siap untuk perubahan besar di era Prabowo dan Gibran! #PrabowoGibran1Putaran,siap siap untuk perubahan besar di era prabowo dan gibran prabowogibran putaran
190,Neutral,"@Melihat_Indo Dalam konteks blunder yang terjadi, kubu Prabowo dan Gibran sepertinya menghadapi tantangan besar menjelang pemilihan.", melihat_indo dalam konteks blunder yang terjadi kubu prabowo dan gibran sepertinya menghadapi tantangan besar menjelang pemilihan 
191,Negative,"@msaid_didu @Yusrilihza_Mhd @AgusYudhoyono @ZUL_Hasan @airlangga_hrt @anismatta justru beban penderitaanmu yg akan bertambah 5 tahun lagi @msaid_didu , tapi saya doakan pak Prabowo lanjut 2 priode, supaya kamu menua sampai gigimu habis selalu dalam kebencian 🤣🤣🤣", msaid_didu yusrilihza_mhd agusyudhoyono zul_hasan airlangga_hrt anismatta justru beban penderitaanmu yg akan bertambah tahun lagi msaid_didu tapi saya doakan pak prabowo lanjut priode supaya kamu menua sampai gigimu habis selalu dalam kebencian 
192,Neutral,"@Melihat_Indo Blunder terkait pembatalan debat cawapres bisa memengaruhi elektabilitas Prabowo, menciptakan ketidakpastian di kalangan pemilih.", melihat_indo blunder terkait pembatalan debat cawapres bisa memengaruhi elektabilitas prabowo menciptakan ketidakpastian di kalangan pemilih 
193,Neutral,@Melihat_Indo Ancaman pengusiran PSI dari Jogja setelah komentar Ade Armando bisa merugikan kubu Prabowo dan Gibran di daerah tersebut., melihat_indo ancaman pengusiran psi dari jogja setelah komentar ade armando bisa merugikan kubu prabowo dan gibran di daerah tersebut 
194,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Itu pada kenal gak sama kyainya?, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ itu pada kenal gak sama kyainya 
195,Neutral,"@Melihat_Indo Dengan blunder semakin meningkat, kredibilitas Prabowo dan Gibran bisa tergerus di mata masyarakat.", melihat_indo dengan blunder semakin meningkat kredibilitas prabowo dan gibran bisa tergerus di mata masyarakat 
196,Neutral,@Melihat_Indo Pernyataan kontroversial Ade Armando menggambarkan kurangnya koordinasi dan pemahaman internal di kubu Prabowo-Gibran., melihat_indo pernyataan kontroversial ade armando menggambarkan kurangnya koordinasi dan pemahaman internal di kubu prabowo gibran 
197,Negative,"@tanyarlfes pemerintah tolong lah tindakannya,ini keknya udah rame bgt tp blum ada pergerakan @jokowi @prabowo", tanyarlfes pemerintah tolong lah tindakannya ini keknya udah rame bgt tp blum ada pergerakan jokowi prabowo
198,Negative,"Prabowo itu status quo. Artinya IKN lanjut,  korban² kebiadaban rejim orson gabakal pernah dapet keadilan. Ganjar idem + partai terkorup. Anies ahlul hianat, pemaksa vaksin laknat.  Ga ada yg beres semua. Demikian, gw golput tanpa cela. Gosah lg nanya gw dukung siapa. Tabok nih!",prabowo itu status quo artinya ikn lanjut korban² kebiadaban rejim orson gabakal pernah dapet keadilan ganjar idem partai terkorup anies ahlul hianat pemaksa vaksin laknat ga ada yg beres semua demikian gw golput tanpa cela gosah lg nanya gw dukung siapa tabok nih 
199,Neutral,"@Melihat_Indo Dengan adanya blunder tersebut, elektabilitas Prabowo mungkin menghadapi tantangan serius dalam waktu dekat.", melihat_indo dengan adanya blunder tersebut elektabilitas prabowo mungkin menghadapi tantangan serius dalam waktu dekat 
200,Neutral,"@StefanAntonio__ Ini kesalahan fatal Prabowo, ketika berpasangan dengan anak Jokowi.", stefanantonio__ ini kesalahan fatal prabowo ketika berpasangan dengan anak jokowi 
201,Neutral,@bengkeldodo @prabowo @gibran_tweet @mimih6mei @bentangnegeri @mamamamabiasa @dennyindrayana @BANGHAYEK @DarekaRendy @gtobing2903 @andrewenas Entekno duwitmu..., bengkeldodo prabowo gibran_tweet mimih mei bentangnegeri mamamamabiasa dennyindrayana banghayek darekarendy gtobing andrewenas entekno duwitmu 
202,Neutral,@Melihat_Indo Kritikan keras terhadap Prabowo-Gibran menunjukkan bahwa masyarakat semakin mempertanyakan kualitas kepemimpinan mereka., melihat_indo kritikan keras terhadap prabowo gibran menunjukkan bahwa masyarakat semakin mempertanyakan kualitas kepemimpinan mereka 
203,Negative,"Jangan ada quick count.. Prabowo sudah 3 kali nyapres dgn kampanye dukungan banyak tetap kalah, Makanya Prabowo buat apa kampanye, debat, dll lebih joged genoy saja, toh dia akan menang..",jangan ada quick count prabowo sudah kali nyapres dgn kampanye dukungan banyak tetap kalah makanya prabowo buat apa kampanye debat dll lebih joged genoy saja toh dia akan menang 
204,Neutral,@golkar_id @prabowo @gibran_tweet Gak beres nih, golkar_id prabowo gibran_tweet gak beres nih
205,Neutral,"@HelgaAmin_ @hematdayaa @gituajaribut @KompasTV Pak  jonan diberhentikan karena menolak KCJB, Bu susi hanya 1 periode karena kebijakannya berani kepada asing &amp  melarang ekspor benih lobster. Ternyata setelah diganti Edhy Prabowo, terkena skandal,vonis 5thn sekarang dah bebas. Masalah utamanya bukan menteri, tapi Presiden", helgaamin_ hematdayaa gituajaribut kompastv pak jonan diberhentikan karena menolak kcjb bu susi hanya periode karena kebijakannya berani kepada asing amp melarang ekspor benih lobster ternyata setelah diganti edhy prabowo terkena skandal vonis thn sekarang dah bebas masalah utamanya bukan menteri tapi presiden
206,Neutral,@MIrvanDarwin1 @prabowo @andre_rosiade Ketawain ajah..siapa tai itu kadernya, mirvandarwin prabowo andre_rosiade ketawain ajah siapa tai itu kadernya
207,Neutral,"@AnDk2411 @Anak__Ogi @SastroMedia @gibran_tweet @prabowo Yg ngmng bkn FX Rudi, tp Tempo di pordcst BOCOR ALUS,.lu sndiri yg suka fitnah org,", andk anak__ogi sastromedia gibran_tweet prabowo yg ngmng bkn fx rudi tp tempo di pordcst bocor alus lu sndiri yg suka fitnah org 
208,Neutral,"@bengkeldodo @prabowo @gibran_tweet @mimih6mei @bentangnegeri @mamamamabiasa @dennyindrayana @BANGHAYEK @DarekaRendy @gtobing2903 @andrewenas disini byk timses dari caleg2 yg mendata no wa,ktp dan kk...kayanya bakalan cair nih buat beli rokok 😂😂", bengkeldodo prabowo gibran_tweet mimih mei bentangnegeri mamamamabiasa dennyindrayana banghayek darekarendy gtobing andrewenas disini byk timses dari caleg yg mendata no wa ktp dan kk kayanya bakalan cair nih buat beli rokok 
209,Negative,@99propaganda @prabowo lha gak bahaya ta? Kalo udah jadi apa gak bakal nyari cara untuk balik modal?, propaganda prabowo lha gak bahaya ta kalo udah jadi apa gak bakal nyari cara untuk balik modal 
210,Neutral,@AntonKu73047372 @RizkiR4madani Gue pilih ganjar-  Mahfud  tapi anak gue pilih Prabowo- Gibran Seandainya ada Mahfud - Gibran pasti kami satu pilihan ☺☺☺, antonku rizkir madani gue pilih ganjar mahfud tapi anak gue pilih prabowo gibran seandainya ada mahfud gibran pasti kami satu pilihan 
211,Neutral,@GunRomli Siap mendukung pak prabowo-gibran, gunromli siap mendukung pak prabowo gibran
212,Neutral,"@drReUtari08 @gibran_tweet @prabowo Sebaiknya Gibran juga cukup joget saja, jangan banyak bicara.  Kalau gak paham apa-apa cukup joget saja, daripada salah ucap.  SALAM gemoy..", drreutari gibran_tweet prabowo sebaiknya gibran juga cukup joget saja jangan banyak bicara kalau gak paham apa apa cukup joget saja daripada salah ucap salam gemoy 
213,Neutral,@Royan_02 @AgusYudhoyono @prabowo @JordanMihaf @Ndons_Back @bengkeldodo @yosephrosario_ @are_inismyname @BANGSAygSUJUD @Bank_Joee_ Qobul https://t.co/T0vwvNFhbz, royan_ agusyudhoyono prabowo jordanmihaf ndons_back bengkeldodo yosephrosario_ are_inismyname bangsaygsujud bank_joee_ qobul 
214,Negative,@genx36545403 @prabowo @gibran_tweet Program konyol cari pembenaran. Di jepang makan siang di sekolah biaya dr orang tua masing2 yg masak sekolah dan pasti gizinya terkontrol dg baik. Di sini? Yg masak pasti katering. 400T pasti byk muncul pengusaha katering dadakan. 😂😂, genx prabowo gibran_tweet program konyol cari pembenaran di jepang makan siang di sekolah biaya dr orang tua masing yg masak sekolah dan pasti gizinya terkontrol dg baik di sini yg masak pasti katering pasti byk muncul pengusaha katering dadakan 
215,Negative,@mamamamabiasa @prabowo Kenapa kyk gni terua jadi tolak ukur dia oantas jadi pemimpin ?  Aneh banget Beliau itu sudah jelas mngkhianati konstitusi Pendkung plitik dinasti juga  Ya kali rakyt mau dipimpin ama orng yg berkhianat pada negeri sndiri, mamamamabiasa prabowo kenapa kyk gni terua jadi tolak ukur dia oantas jadi pemimpin aneh banget beliau itu sudah jelas mngkhianati konstitusi pendkung plitik dinasti juga ya kali rakyt mau dipimpin ama orng yg berkhianat pada negeri sndiri
216,Neutral,@UmarSyadatHsb__ Ga ada yang doyan ama capres &amp  cawapres lu @Gerindra @prabowo @gibran_tweet, umarsyadathsb__ ga ada yang doyan ama capres amp cawapres lu gerindra prabowo gibran_tweet
217,Neutral,"@bengkeldodo @prabowo @gibran_tweet @mimih6mei @bentangnegeri @mamamamabiasa @dennyindrayana @BANGHAYEK @DarekaRendy @gtobing2903 @andrewenas Aku cek ke daerah pelosok2 Jateng terutama desa2 pinggiran kurang masif, Gibran harus turun, soalnya udah kama jadi pasarnya PDIP, PPP, GOLKAR sejak ORBA dan PKB sejak 1999. Kades2 Jateng rata2 org merah sejak 2014.", bengkeldodo prabowo gibran_tweet mimih mei bentangnegeri mamamamabiasa dennyindrayana banghayek darekarendy gtobing andrewenas aku cek ke daerah pelosok jateng terutama desa pinggiran kurang masif gibran harus turun soalnya udah kama jadi pasarnya pdip ppp golkar sejak orba dan pkb sejak kades jateng rata org merah sejak 
218,Neutral,"Jubir TKN Prabowo - Gibran, Makan Siang Gratis Solusi Ringankan Beban Keluarga Tak Mampu https://t.co/UopAzkSodS",jubir tkn prabowo gibran makan siang gratis solusi ringankan beban keluarga tak mampu 
219,Negative,"@ab_adikumara @kukeKIKEkoke @gara_nam Dia kira formiler = mutlak buzzer Prabowo kali ya, naive sekali pemikirannyaa 🤦🏻‍♂️", ab_adikumara kukekikekoke gara_nam dia kira formiler mutlak buzzer prabowo kali ya naive sekali pemikirannyaa 
220,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Yakin nih pada dukung itu?, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ yakin nih pada dukung itu 
221,Neutral,Politik Belimbing Sayur Ala @PDI_Perjuangan dan @psi_id   1. Bikin dua kubu Ganjar-Mahfud dan Prabowo-Gibran untuk pecahkan suara di pilpres 2024 ala PILKADES  2. Drama cakar-cakaran supaya terlihat serius menjadi lawan politik dan sesungguhnya mereka kakak-adik,politik belimbing sayur ala pdi_perjuangan dan psi_id bikin dua kubu ganjar mahfud dan prabowo gibran untuk pecahkan suara di pilpres ala pilkades drama cakar cakaran supaya terlihat serius menjadi lawan politik dan sesungguhnya mereka kakak adik
222,Negative,@ethadisaputra @PKSejahtera Simpatisan itu bukannya pendukung ya ?? Kenapa ga sebut pendukung/simpatisan Prabowo Gibran aja ?? Kenapa hrs dibawa nama PKS?? Kan simpatisan dan pendukung tidak terikat toh .. bebaaaaaaas mau dukung siapa tp jangan donk pake atas nama partai lain … bego tak bertepi, ethadisaputra pksejahtera simpatisan itu bukannya pendukung ya kenapa ga sebut pendukung simpatisan prabowo gibran aja kenapa hrs dibawa nama pks kan simpatisan dan pendukung tidak terikat toh bebaaaaaaas mau dukung siapa tp jangan donk pake atas nama partai lain bego tak bertepi
223,Neutral,@Dennysiregar7 @prabowo @gibran_tweet LGBT???, dennysiregar prabowo gibran_tweet lgbt 
224,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ No 1 udah tepat, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ no udah tepat
225,Negative,@tawajkt Hukum Gantung  DPR pengusulnya bersama  Jokowi &amp  Prabowo  Little Bastard bajingan tolol, tawajkt hukum gantung dpr pengusulnya bersama jokowi amp prabowo little bastard bajingan tolol
226,Negative,@tempodotco Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”.  Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia.  Anies lebih lebih lebih KEBODOHAN......., tempodotco breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
227,Positive,@Valhallaah @bakamla_ri @HumasBakamlaRI @_TNIAL_ @Puspen_TNI @prabowo @jokowi @ditjen_imigrasi @setkabgoid Pulangin ke myanmar.....enak aja, valhallaah bakamla_ri humasbakamlari _tnial_ puspen_tni prabowo jokowi ditjen_imigrasi setkabgoid pulangin ke myanmar enak aja
228,Neutral,@MIrvanDarwin1 @prabowo @andre_rosiade Duit lagi atau anggota kadernya, mirvandarwin prabowo andre_rosiade duit lagi atau anggota kadernya
229,Neutral,@golkar_id @prabowo @gibran_tweet Hati hati krna ada anaknya, golkar_id prabowo gibran_tweet hati hati krna ada anaknya
230,Neutral,@hendrsunndr @tempodotco Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”.      Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia.      Anies lebih lebih lebih KEBODOHAN......., hendrsunndr tempodotco breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
231,Negative,"@bumnbersatu @jokowi Gak bisalah diatas Soekarno. Jauhhh lah cinta tanah air nya, nasionalismenya di banding Jokowi. Kemenangan Prabowo adalah Kemenangan Kapitalis Amerika. Kapitalis Amerika mengeruk kekayaan Indonesia dari zaman Soeharto hingga SBY. https://t.co/dttDL7INdK", bumnbersatu jokowi gak bisalah diatas soekarno jauhhh lah cinta tanah air nya nasionalismenya di banding jokowi kemenangan prabowo adalah kemenangan kapitalis amerika kapitalis amerika mengeruk kekayaan indonesia dari zaman soeharto hingga sby 
232,Negative,@UmarSyadatHsb__ Ya mmg kelasnya partai kita payah2 ngasi calon pemimpin jg g jelas.. salahkan diri sendiri berkuasa jaman reformasi g bisa menghasilkan pemimpin lebih baik dri prabowo.. masa org tua gt bisa pnya elektabilitas tinggi? Ya artinya kegagalan ada di yg berkuasa.., umarsyadathsb__ ya mmg kelasnya partai kita payah ngasi calon pemimpin jg jelas salahkan diri sendiri berkuasa jaman reformasi bisa menghasilkan pemimpin lebih baik dri prabowo masa org tua gt bisa pnya elektabilitas tinggi ya artinya kegagalan ada di yg berkuasa 
233,Neutral,@tvOneNews Ini tamparan keras bagi @aniesbaswedan @prabowo @ganjarpranowo., tvonenews ini tamparan keras bagi aniesbaswedan prabowo ganjarpranowo 
234,Neutral,@bumnbersatu @prabowo Berarti bkn bakatnya jdi pejabat alias presiden dunk, bumnbersatu prabowo berarti bkn bakatnya jdi pejabat alias presiden dunk
235,Neutral,"Untuk menjatuhkam Prabowo lah, jangankan anggaran kemenhan, food estae aja di goreng",untuk menjatuhkam prabowo lah jangankan anggaran kemenhan food estae aja di goreng
236,Positive,Pada dasarnya masyarakat menginginkan pemilu yang damai tanpa ada saling menghakimi. Sejalan dengan komitmen Prabowo Gibran   #GibranMendengar #Gibran2024 Gibran Terus Maju | NPWP blackpink https://t.co/jLHGrkkEi0,pada dasarnya masyarakat menginginkan pemilu yang damai tanpa ada saling menghakimi sejalan dengan komitmen prabowo gibran gibranmendengar gibran gibran terus maju npwp blackpink 
237,Negative,"@PandamPamungkas @PartaiSocmed @prabowo Berkuasa itu kata yang egois banget loh, itu menunjukkan ia ingin dipandang lebih tinggi daripada sebelumnya dan semuanya harus tunduk terhadap sikap maupun bicara yang disampaikan.", pandampamungkas partaisocmed prabowo berkuasa itu kata yang egois banget loh itu menunjukkan ia ingin dipandang lebih tinggi daripada sebelumnya dan semuanya harus tunduk terhadap sikap maupun bicara yang disampaikan 
238,Neutral,@haidar_arash68 @Rasheed_inn @are_inismyname @bengkeldodo @prabowo @azissubekti @BANGSAygSUJUD @Ndons_Back @Zero8ok @Royan_02 @DarekaRendy @florieliciouss @Kimberley_2024 Capres remedial kelebihan nya, haidar_arash rasheed_inn are_inismyname bengkeldodo prabowo azissubekti bangsaygsujud ndons_back zero ok royan_ darekarendy florieliciouss kimberley_ capres remedial kelebihan nya
239,Negative,@Kimberley_2024 @genx36545403 @prabowo Iya udh banyak berbuat teemasuk menculik kan? https://t.co/0230CD5dcW, kimberley_ genx prabowo iya udh banyak berbuat teemasuk menculik kan 
240,Negative,@99propaganda @prabowo Kalau pas kampanye itu namanya apa ya wkwkkwkwk org cerdas juga tau kenapa gak dulu2 aja ngasih nya wkwkwkkwkwkwkkw, propaganda prabowo kalau pas kampanye itu namanya apa ya wkwkkwkwk org cerdas juga tau kenapa gak dulu aja ngasih nya wkwkwkkwkwkwkkw
241,Negative,@BangPino__ Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”      Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia      Anies lebih lebih lebih KEBODOHAN......., bangpino__ breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
242,Neutral,@democrazymedia Strategi NEO komunis gaya  baru jokowi &amp  Prabowo  Nepotisme PSI &amp  projo  Kenapa kita diam ??, democrazymedia strategi neo komunis gaya baru jokowi amp prabowo nepotisme psi amp projo kenapa kita diam 
243,Neutral,"@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ ga heran, focus pak anies aja deh", bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ ga heran focus pak anies aja deh
244,Neutral,"@icikiwir_08 @prabowo @jokowi @PDI_Perjuangan @gibran_tweet @99propaganda @adri_7i @zy_zy_its_me @mpoklela7 @tjitrosoenarjo1 @Minietweets_ @wiena_kinasih @BANGSAygSUJUD @iam_zelt @mas_veel Walikota terbaik? Mendapatkan dana proyek 2 Triliun bro, jangan bandingkan dengan daerah lain, coba saja IKN tiddak di bangun, tapi uangnya untuk membangun seperti SOLO, Apakah akan ada ketimpangan seperti ini?", icikiwir_ prabowo jokowi pdi_perjuangan gibran_tweet propaganda adri_ zy_zy_its_me mpoklela tjitrosoenarjo minietweets_ wiena_kinasih bangsaygsujud iam_zelt mas_veel walikota terbaik mendapatkan dana proyek triliun bro jangan bandingkan dengan daerah lain coba saja ikn tiddak di bangun tapi uangnya untuk membangun seperti solo apakah akan ada ketimpangan seperti ini 
245,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ NU dukung prabowo? whwah, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ nu dukung prabowo whwah
246,Neutral,@Gerindra Prabowo - Gibran pasangan capres dan cawapres yang sudah berpengalaman, gerindra prabowo gibran pasangan capres dan cawapres yang sudah berpengalaman
247,Neutral,@golkar_id @prabowo @gibran_tweet Yang bener aja nih, golkar_id prabowo gibran_tweet yang bener aja nih
248,Neutral,"Melihat Elektabilitas Prabowo-Gibran Setelah Populernya Kata Gemoy"" - https://t.co/URXpgOqIFO - https://t.co/URXpgOqIFO https://t.co/nCOS8BKcBp #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy""",melihat elektabilitas prabowo gibran setelah populernya kata gemoy https co ncos bkcbp bersamaindonesiamaju prabowogemoy kodekita gemoy 
249,Neutral,"Melihat Elektabilitas Prabowo-Gibran Setelah Populernya Kata Gemoy"" - https://t.co/dqIzzJc8GD - https://t.co/dqIzzJc8GD https://t.co/Vx2deXBwBg #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy""",melihat elektabilitas prabowo gibran setelah populernya kata gemoy https co vx dexbwbg bersamaindonesiamaju prabowogemoy kodekita gemoy 
250,Neutral,"Melihat Elektabilitas Prabowo-Gibran Setelah Populernya Kata Gemoy"" - https://t.co/ohc6LSqdQ4 - https://t.co/ohc6LSqdQ4 https://t.co/wSDglwJn9T #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy""",melihat elektabilitas prabowo gibran setelah populernya kata gemoy https co wsdglwjn bersamaindonesiamaju prabowogemoy kodekita gemoy 
251,Neutral,"Melihat Elektabilitas Prabowo-Gibran Setelah Populernya Kata Gemoy"" - https://t.co/TpNMIXRRlP - https://t.co/TpNMIXRRlP https://t.co/jGrr3iXAIr #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy""",melihat elektabilitas prabowo gibran setelah populernya kata gemoy https co jgrr ixair bersamaindonesiamaju prabowogemoy kodekita gemoy 
252,Neutral,@Dennysiregar7 @psi_id @prabowo @gibran_tweet Kalau dipecat nanti dia mencalonkan jadi presiden 2029 dong 🤣🤣, dennysiregar psi_id prabowo gibran_tweet kalau dipecat nanti dia mencalonkan jadi presiden dong 
253,Neutral,@drReUtari08 @gibran_tweet @prabowo Jogetin z https://t.co/c12VFOvUbO, drreutari gibran_tweet prabowo jogetin 
254,Negative,@DedynurPalakka @adearmando61 wkwkwkwkwkwwk.... sah2 saja anda menilai bos...  cukup tanyakan ajah kenapa dulu nyerang PRABOWO.. sekarang menjilatnya... . dan penjelasannya bisa anda tiru.... 😂🤟, dedynurpalakka adearmando wkwkwkwkwkwwk sah saja anda menilai bos cukup tanyakan ajah kenapa dulu nyerang prabowo sekarang menjilatnya dan penjelasannya bisa anda tiru 
255,Negative,@opposite6892 Pk Ustad sdh mema'afkan atas PengKhianatan Prabowo... Dan Sekarang Menjelaskan apa Makna AMIN... Hanya IBLISS yg Tdk Mau Meng AMIN kan Do'a-Do'a yg baik... hanya orang TerLaknat yg benci Ulama'..., opposite pk ustad sdh mema afkan atas pengkhianatan prabowo dan sekarang menjelaskan apa makna amin hanya ibliss yg tdk mau meng amin kan do do yg baik hanya orang terlaknat yg benci ulama 
256,Neutral,@ajengcute16__ Prabowo menang penguasa rangkap pengusaha akan marak. Jadilah pemilih yang cerdas, ajengcute __ prabowo menang penguasa rangkap pengusaha akan marak jadilah pemilih yang cerdas
257,Neutral,@Chaves1305 @HarnadiHidayat Kalau Prabowo kan jelas ya...😂, chaves harnadihidayat kalau prabowo kan jelas ya 
258,Negative,"@kangdede78 Klo ini di suruh KAMPANYE, prabowo malu, jeblok elektabilitas nya. Istri tidak ada https://t.co/Szc9eS5hkW", kangdede klo ini di suruh kampanye prabowo malu jeblok elektabilitas nya istri tidak ada 
259,Neutral,@bengkeldodo @prabowo @genx36545403 @DediMulyadi71 @JordanMihaf @yosephrosario_ @Royan_02 @bentangnegeri @are_inismyname @florieliciouss @BANGSAygSUJUD @Bank_Joee_ Baca sejarahnya kurang jauh nanti kamu malah blunder sendiri kalau bahas orang tua Prabowo, bengkeldodo prabowo genx dedimulyadi jordanmihaf yosephrosario_ royan_ bentangnegeri are_inismyname florieliciouss bangsaygsujud bank_joee_ baca sejarahnya kurang jauh nanti kamu malah blunder sendiri kalau bahas orang tua prabowo
260,Neutral,@NewsFlash09 @PartaiSocmed @prabowo FlashNews juga bakal ngiler kok.. dengan pembayarannya. Apalagi penawaran itu blm tentu datang tiap hari... FlashNews mau?? 😄, newsflash partaisocmed prabowo flashnews juga bakal ngiler kok dengan pembayarannya apalagi penawaran itu blm tentu datang tiap hari flashnews mau 
261,Negative,@alextham878 Jilat terus tuh burit Prabowo alias lobang tai., alextham jilat terus tuh burit prabowo alias lobang tai 
262,Positive,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Yang penting AMIN menang, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ yang penting amin menang
263,Neutral,@negativisme @catchmeupid Pak Presiden @jokowi  &amp  Pak Menhan @prabowo Tolong ambil sikap TEGAS mengenai pengungsi ROHINGYA. Jaga pertahanan laut Indonesia dgn berkordinasi AL RI @_TNIAL_  Jgn gampang masuk orang asing melalui laut Indonesia. Jgn sampai NANTI nya kedaulatan NKRI hilang seperti Palestina ✌, negativisme catchmeupid pak presiden jokowi amp pak menhan prabowo tolong ambil sikap tegas mengenai pengungsi rohingya jaga pertahanan laut indonesia dgn berkordinasi al ri _tnial_ jgn gampang masuk orang asing melalui laut indonesia jgn sampai nanti nya kedaulatan nkri hilang seperti palestina 
264,Neutral,@Dennysiregar7 @psi_id @prabowo @gibran_tweet Dulu sahabat sekarang jadi bangsa, dennysiregar psi_id prabowo gibran_tweet dulu sahabat sekarang jadi bangsa
265,Neutral,@golkar_id @prabowo @gibran_tweet Mau sampe kapan nih, golkar_id prabowo gibran_tweet mau sampe kapan nih
266,Neutral,"@mochamadarip @budimandjatmiko PDIP akan tetap leading secara partai di Bali karena masyarakatnya terhipnotis Megawati yg keturunan Soekarno. Tapi untuk President sangat besar Prabowo yg menang, karena tingkah polah arogan team PDIP sudah nyebelin mendeskriditkan pk Jokowi", mochamadarip budimandjatmiko pdip akan tetap leading secara partai di bali karena masyarakatnya terhipnotis megawati yg keturunan soekarno tapi untuk president sangat besar prabowo yg menang karena tingkah polah arogan team pdip sudah nyebelin mendeskriditkan pk jokowi
